"s","viafid"
"http://datos.bne.es/resource/XX819247","http://viaf.org/viaf/168858988"
"http://datos.bne.es/resource/XX819266","http://viaf.org/viaf/36506075"
"http://datos.bne.es/resource/XX819273","http://viaf.org/viaf/51851014"
"http://datos.bne.es/resource/XX819274","http://viaf.org/viaf/87602498"
"http://datos.bne.es/resource/XX819276","http://viaf.org/viaf/56117608"
"http://datos.bne.es/resource/XX819287","http://viaf.org/viaf/87602524"
"http://datos.bne.es/resource/XX819289","http://viaf.org/viaf/87602530"
"http://datos.bne.es/resource/XX819305","http://viaf.org/viaf/87602569"
"http://datos.bne.es/resource/XX819309","http://viaf.org/viaf/87602582"
"http://datos.bne.es/resource/XX819311","http://viaf.org/viaf/87602595"
"http://datos.bne.es/resource/XX819314","http://viaf.org/viaf/41734976"
"http://datos.bne.es/resource/XX819340","http://viaf.org/viaf/87602684"
"http://datos.bne.es/resource/XX819344","http://viaf.org/viaf/87602700"
"http://datos.bne.es/resource/XX819355","http://viaf.org/viaf/87602744"
"http://datos.bne.es/resource/XX819359","http://viaf.org/viaf/87602771"
"http://datos.bne.es/resource/XX819360","http://viaf.org/viaf/9175987"
"http://datos.bne.es/resource/XX819374","http://viaf.org/viaf/87602802"
"http://datos.bne.es/resource/XX819375","http://viaf.org/viaf/87602818"
"http://datos.bne.es/resource/XX819389","http://viaf.org/viaf/54177627"
"http://datos.bne.es/resource/XX819390","http://viaf.org/viaf/120104711"
"http://datos.bne.es/resource/XX819391","http://viaf.org/viaf/321898"
"http://datos.bne.es/resource/XX819392","http://viaf.org/viaf/33283700"
"http://datos.bne.es/resource/XX819394","http://viaf.org/viaf/110267396"
"http://datos.bne.es/resource/XX819395","http://viaf.org/viaf/87602873"
"http://datos.bne.es/resource/XX819397","http://viaf.org/viaf/29396785"
"http://datos.bne.es/resource/XX819398","http://viaf.org/viaf/3973916"
"http://datos.bne.es/resource/XX819399","http://viaf.org/viaf/14059569"
"http://datos.bne.es/resource/XX819401","http://viaf.org/viaf/4933942"
"http://datos.bne.es/resource/XX819402","http://viaf.org/viaf/9626837"
"http://datos.bne.es/resource/XX819403","http://viaf.org/viaf/87602904"
"http://datos.bne.es/resource/XX819405","http://viaf.org/viaf/87602927"
"http://datos.bne.es/resource/XX133007","http://viaf.org/viaf/90667644"
"http://datos.bne.es/resource/XX819253","http://viaf.org/viaf/87602446"
"http://datos.bne.es/resource/XX819261","http://viaf.org/viaf/44369060"
"http://datos.bne.es/resource/XX819267","http://viaf.org/viaf/87602479"
"http://datos.bne.es/resource/XX819280","http://viaf.org/viaf/61121977"
"http://datos.bne.es/resource/XX819282","http://viaf.org/viaf/87602507"
"http://datos.bne.es/resource/XX819283","http://viaf.org/viaf/87602511"
"http://datos.bne.es/resource/XX819302","http://viaf.org/viaf/108938444"
"http://datos.bne.es/resource/XX819306","http://viaf.org/viaf/87602576"
"http://datos.bne.es/resource/XX819312","http://viaf.org/viaf/87602609"
"http://datos.bne.es/resource/XX819318","http://viaf.org/viaf/87602621"
"http://datos.bne.es/resource/XX819322","http://viaf.org/viaf/87602632"
"http://datos.bne.es/resource/XX819325","http://viaf.org/viaf/160495209"
"http://datos.bne.es/resource/XX819327","http://viaf.org/viaf/87602645"
"http://datos.bne.es/resource/XX819333","http://viaf.org/viaf/17279780"
"http://datos.bne.es/resource/XX819335","http://viaf.org/viaf/87602666"
"http://datos.bne.es/resource/XX819336","http://viaf.org/viaf/26961572"
"http://datos.bne.es/resource/XX819339","http://viaf.org/viaf/73759843"
"http://datos.bne.es/resource/XX819341","http://viaf.org/viaf/87602697"
"http://datos.bne.es/resource/XX819342","http://viaf.org/viaf/97740619"
"http://datos.bne.es/resource/XX819356","http://viaf.org/viaf/87602759"
"http://datos.bne.es/resource/XX819358","http://viaf.org/viaf/87602763"
"http://datos.bne.es/resource/XX819363","http://viaf.org/viaf/87602785"
"http://datos.bne.es/resource/XX819370","http://viaf.org/viaf/146074173"
"http://datos.bne.es/resource/XX819378","http://viaf.org/viaf/87602825"
"http://datos.bne.es/resource/XX819379","http://viaf.org/viaf/87106986"
"http://datos.bne.es/resource/XX819380","http://viaf.org/viaf/70677122"
"http://datos.bne.es/resource/XX819381","http://viaf.org/viaf/33722187"
"http://datos.bne.es/resource/XX819382","http://viaf.org/viaf/87602839"
"http://datos.bne.es/resource/XX819393","http://viaf.org/viaf/77943232"
"http://datos.bne.es/resource/XX819409","http://viaf.org/viaf/39683149"
"http://datos.bne.es/resource/XX819413","http://viaf.org/viaf/87602970"
"http://datos.bne.es/resource/XX819436","http://viaf.org/viaf/50937266"
"http://datos.bne.es/resource/XX819439","http://viaf.org/viaf/87603057"
"http://datos.bne.es/resource/XX819440","http://viaf.org/viaf/77965221"
"http://datos.bne.es/resource/XX819443","http://viaf.org/viaf/87603074"
"http://datos.bne.es/resource/XX819449","http://viaf.org/viaf/87603088"
"http://datos.bne.es/resource/XX819451","http://viaf.org/viaf/87603100"
"http://datos.bne.es/resource/XX819452","http://viaf.org/viaf/37203166"
"http://datos.bne.es/resource/XX819456","http://viaf.org/viaf/87603128"
"http://datos.bne.es/resource/XX819459","http://viaf.org/viaf/170262665"
"http://datos.bne.es/resource/XX819465","http://viaf.org/viaf/87603159"
"http://datos.bne.es/resource/XX819476","http://viaf.org/viaf/87603185"
"http://datos.bne.es/resource/XX819486","http://viaf.org/viaf/70602557"
"http://datos.bne.es/resource/XX819487","http://viaf.org/viaf/87603214"
