 "s" , "viafid" ,
 "http://data.cervantesvirtual.com/person/10" , "http://viaf.org/viaf/5817" ,
 "http://data.cervantesvirtual.com/person/100" , "http://viaf.org/viaf/100192419" ,
 "http://data.cervantesvirtual.com/person/10000" , "http://viaf.org/viaf/88016539" ,
 "http://data.cervantesvirtual.com/person/10003" , "http://viaf.org/viaf/107722265" ,
 "http://data.cervantesvirtual.com/person/10008" , "http://viaf.org/viaf/49612696" ,
 "http://data.cervantesvirtual.com/person/10009" , "http://viaf.org/viaf/99330344" ,
 "http://data.cervantesvirtual.com/person/10013" , "http://viaf.org/viaf/76340155" ,
 "http://data.cervantesvirtual.com/person/10014" , "http://viaf.org/viaf/86629495" ,
 "http://data.cervantesvirtual.com/person/8622" , "http://viaf.org/viaf/86629495" ,
 "http://data.cervantesvirtual.com/person/1002" , "http://viaf.org/viaf/14198663" ,
 "http://data.cervantesvirtual.com/person/10020" , "http://viaf.org/viaf/43422798" ,
 "http://data.cervantesvirtual.com/person/10024" , "http://viaf.org/viaf/66689783" ,
 "http://data.cervantesvirtual.com/person/10026" , "http://viaf.org/viaf/76570020" ,
 "http://data.cervantesvirtual.com/person/10027" , "http://viaf.org/viaf/16487336" ,
 "http://data.cervantesvirtual.com/person/10029" , "http://viaf.org/viaf/189097" ,
 "http://data.cervantesvirtual.com/person/10031" , "http://viaf.org/viaf/5111444" ,
 "http://data.cervantesvirtual.com/person/10033" , "http://viaf.org/viaf/60753099" ,
 "http://data.cervantesvirtual.com/person/10034" , "http://viaf.org/viaf/89730681" ,
 "http://data.cervantesvirtual.com/person/10035" , "http://viaf.org/viaf/49311514" ,
 "http://data.cervantesvirtual.com/person/10045" , "http://viaf.org/viaf/65300436" ,
 "http://data.cervantesvirtual.com/person/10046" , "http://viaf.org/viaf/78033461" ,
 "http://data.cervantesvirtual.com/person/10047" , "http://viaf.org/viaf/63343987" ,
 "http://data.cervantesvirtual.com/person/10049" , "http://viaf.org/viaf/87018907" ,
 "http://data.cervantesvirtual.com/person/10051" , "http://viaf.org/viaf/71523229" ,
 "http://data.cervantesvirtual.com/person/10054" , "http://viaf.org/viaf/289664662" ,
 "http://data.cervantesvirtual.com/person/10057" , "http://viaf.org/viaf/49350681" ,
 "http://data.cervantesvirtual.com/person/10061" , "http://viaf.org/viaf/68923725" ,
 "http://data.cervantesvirtual.com/person/10084" , "http://viaf.org/viaf/90629206" ,
