s,sLabel
http://www.wikidata.org/entity/Q35733,Velimir Jlébnikov
http://www.wikidata.org/entity/Q40874,Doris Lessing
http://www.wikidata.org/entity/Q45221,Herbert Achternbusch
http://www.wikidata.org/entity/Q47243,Elfriede Jelinek
http://www.wikidata.org/entity/Q48900,Ludovico Ariosto
http://www.wikidata.org/entity/Q35610,Arthur Conan Doyle
http://www.wikidata.org/entity/Q34474,Aleksandr Solzhenitsyn
http://www.wikidata.org/entity/Q34628,Gotthold Ephraim Lessing
http://www.wikidata.org/entity/Q36233,Václav Havel
http://www.wikidata.org/entity/Q40213,William Butler Yeats
http://www.wikidata.org/entity/Q41408,Federico García Lorca
http://www.wikidata.org/entity/Q44328,Karl Kraus
http://www.wikidata.org/entity/Q45337,Ernst von Wildenbruch
http://www.wikidata.org/entity/Q46706,Eugène Ionesco
http://www.wikidata.org/entity/Q51513,Hugo von Hofmannsthal
http://www.wikidata.org/entity/Q52257,Domingos dos Reis Quita
http://www.wikidata.org/entity/Q56700,Arciom Viaryha-Dareŭski
http://www.wikidata.org/entity/Q38392,William Faulkner
http://www.wikidata.org/entity/Q41223,Borís Pasternak
http://www.wikidata.org/entity/Q44336,Thomas Bernhard
http://www.wikidata.org/entity/Q55690,Pralhad Keshav Atre
http://www.wikidata.org/entity/Q57074,Nelly Sachs
http://www.wikidata.org/entity/Q43353,Aristófanes
http://www.wikidata.org/entity/Q45309,Ludwig Thoma
http://www.wikidata.org/entity/Q34782,Natalie Clifford Barney
http://www.wikidata.org/entity/Q36591,Vladímir Nabókov
http://www.wikidata.org/entity/Q40826,Knut Hamsun
http://www.wikidata.org/entity/Q42831,Iván Turguénev
http://www.wikidata.org/entity/Q43718,Nikolái Gógol
http://www.wikidata.org/entity/Q44107,Peter Handke
http://www.wikidata.org/entity/Q44862,Johann Nestroy
http://www.wikidata.org/entity/Q44851,Miguel Torga
http://www.wikidata.org/entity/Q45272,Peter Turrini
http://www.wikidata.org/entity/Q49747,Maurice Maeterlinck
http://www.wikidata.org/entity/Q49746,Michel de Ghelderode
http://www.wikidata.org/entity/Q33977,Julio Verne
http://www.wikidata.org/entity/Q47130,Ennio
http://www.wikidata.org/entity/Q36661,Henrik Ibsen
http://www.wikidata.org/entity/Q46405,Bjørnstjerne Bjørnson
http://www.wikidata.org/entity/Q51107,Georges Courteline
http://www.wikidata.org/entity/Q57182,Friedrich Hebbel
http://www.wikidata.org/entity/Q37767,T. S. Eliot
http://www.wikidata.org/entity/Q41488,Wole Soyinka
http://www.wikidata.org/entity/Q43523,Gerhart Hauptmann
http://www.wikidata.org/entity/Q44366,Kim Chi-ha
http://www.wikidata.org/entity/Q53009,Bernardo Bertolucci
http://www.wikidata.org/entity/Q37060,José Saramago
http://www.wikidata.org/entity/Q37327,Samuel Beckett
http://www.wikidata.org/entity/Q38757,Bertolt Brecht
http://www.wikidata.org/entity/Q44695,Konstantín Símonov
http://www.wikidata.org/entity/Q46599,Mijaíl Lérmontov
http://www.wikidata.org/entity/Q57239,Ludwig Tieck
http://www.wikidata.org/entity/Q34970,D. H. Lawrence
http://www.wikidata.org/entity/Q44775,Ernst Jandl
http://www.wikidata.org/entity/Q44922,Judith Sargent Murray
http://www.wikidata.org/entity/Q45267,Jura Soyfer
http://www.wikidata.org/entity/Q47619,Nadine Gordimer
http://www.wikidata.org/entity/Q747,Pierre Corneille
http://www.wikidata.org/entity/Q3547,Franciszek Karpiński
http://www.wikidata.org/entity/Q7728,Grazia Deledda
http://www.wikidata.org/entity/Q8820,Lucio Vario Rufo
http://www.wikidata.org/entity/Q15904,Milan Jesih
http://www.wikidata.org/entity/Q16285,Mario Benedetti
http://www.wikidata.org/entity/Q16867,Edgar Allan Poe
http://www.wikidata.org/entity/Q28777,Guan Hanqing
http://www.wikidata.org/entity/Q29473,Pietro Metastasio
http://www.wikidata.org/entity/Q31215,Miloš Crnjanski
http://www.wikidata.org/entity/Q9068,Voltaire
http://www.wikidata.org/entity/Q692,William Shakespeare
http://www.wikidata.org/entity/Q7200,Aleksandr Pushkin
http://www.wikidata.org/entity/Q504,Émile Zola
http://www.wikidata.org/entity/Q590,Luís de Camões
http://www.wikidata.org/entity/Q651,Friedrich Theodor Vischer
http://www.wikidata.org/entity/Q687,Molière
http://www.wikidata.org/entity/Q7011,Kalidasa
http://www.wikidata.org/entity/Q7724,August Strindberg
http://www.wikidata.org/entity/Q18066,Eduard Uspensky
http://www.wikidata.org/entity/Q29057,Bhavabhuti
http://www.wikidata.org/entity/Q29284,Gómez Manrique
http://www.wikidata.org/entity/Q30875,Oscar Wilde
